"Lon, features",prediction
"-73.9759, [object Object]",0
"-73.9773, [object Object]",0
"-73.8726, [object Object]",2
"-73.9907, [object Object]",0
"-73.9847, [object Object]",0
"-73.9638, [object Object]",0
"-73.7956, [object Object]",1
"-73.9581, [object Object]",0
"-73.9935, [object Object]",0
"-73.9626, [object Object]",0
"-73.9929, [object Object]",0
"-74.1779, [object Object]",0
"-73.9877, [object Object]",0
"-74.1781, [object Object]",0
"-73.9754, [object Object]",0
"-73.989, [object Object]",0
"-73.9607, [object Object]",0
"-73.9654, [object Object]",0
"-73.8627, [object Object]",1
"-74.0062, [object Object]",0
"-73.9781, [object Object]",0
"-73.9677, [object Object]",0
"-73.9694, [object Object]",0
"-73.9789, [object Object]",0
"-73.9629, [object Object]",0
"-74.0058, [object Object]",0
"-74.0049, [object Object]",0
"-73.9964, [object Object]",0
"-74.0456, [object Object]",0
"-73.9721, [object Object]",0
"-73.9728, [object Object]",0
"-73.9916, [object Object]",0
"-73.9774, [object Object]",0
"-74.0468, [object Object]",0
"-73.9658, [object Object]",0
"-73.9765, [object Object]",0
"-73.9902, [object Object]",0
"-73.9899, [object Object]",0
"-74.0041, [object Object]",0
"-73.9815, [object Object]",0
"-73.9584, [object Object]",0
"-73.9612, [object Object]",0
"-73.9958, [object Object]",0
"-73.9662, [object Object]",0
"-74.0031, [object Object]",0
"-73.9829, [object Object]",0
"-73.9441, [object Object]",0
"-73.9969, [object Object]",0
"-73.9972, [object Object]",0
"-74.0107, [object Object]",0
"-74.0036, [object Object]",0
"-73.9746, [object Object]",0
"-73.9762, [object Object]",0
"-74.0172, [object Object]",0
"-73.9954, [object Object]",0
"-74.0114, [object Object]",0
"-74.0156, [object Object]",0
"-74.0133, [object Object]",0
"-73.9619, [object Object]",0
"-73.8625, [object Object]",3
"-73.9874, [object Object]",0
"-73.8716, [object Object]",1
"-74.0163, [object Object]",0
"-73.9804, [object Object]",0
"-74.022, [object Object]",0
"-74.1817, [object Object]",0
"-73.9747, [object Object]",0
"-73.9451, [object Object]",0
"-73.9682, [object Object]",0
"-73.9816, [object Object]",0
"-73.8016, [object Object]",1
"-73.9535, [object Object]",0
"-73.9673, [object Object]",0
"-73.9577, [object Object]",0
"-73.9796, [object Object]",0
"-73.972, [object Object]",0
"-74.0035, [object Object]",0
"-73.8857, [object Object]",2
"-73.9919, [object Object]",0
"-74.178, [object Object]",0
"-74.0012, [object Object]",0
"-73.9742, [object Object]",0
"-73.9533, [object Object]",0
"-73.9973, [object Object]",0
"-73.9853, [object Object]",0
"-74.2213, [object Object]",0
"-73.9708, [object Object]",0
"-73.9756, [object Object]",0
"-74.0008, [object Object]",0
"-73.9621, [object Object]",0
"-74.0349, [object Object]",0
"-73.9842, [object Object]",0
"-73.8811, [object Object]",1
"-73.9757, [object Object]",0
"-73.9857, [object Object]",0
"-74.42, [object Object]",0
"-74.0007, [object Object]",0
"-73.8624, [object Object]",3
"-74.0078, [object Object]",0
"-74.0024, [object Object]",0
"-73.9538, [object Object]",0
"-73.985, [object Object]",0
"-73.987, [object Object]",0
"-73.9589, [object Object]",0
"-73.9839, [object Object]",0
"-74.0761, [object Object]",0
"-73.9739, [object Object]",0
"-73.8733, [object Object]",1
"-74.0123, [object Object]",0
"-73.9855, [object Object]",0
"-73.9917, [object Object]",0
"-73.9926, [object Object]",0
"-74.0065, [object Object]",0
"-73.988, [object Object]",0
"-74.0248, [object Object]",0
"-73.9686, [object Object]",0
"-74.0088, [object Object]",0
"-73.9923, [object Object]",0
"-73.9872, [object Object]",0
"-74.1784, [object Object]",0
"-73.8728, [object Object]",2
"-73.4202, [object Object]",1
